CardholderID,First Name,Last Name,Gender,ATMID,Birth Date,Occupation,AccountType,IsWisabi
RI-004-1018,Emmanuel,Akpobari,M,RI-004,02/14/2002,Mechanic,Current,1
FC-005-1022,Habiba,Zainab,M,FC-005,06/28/1987,Factory Worker,Current,0
FC-005-1024,Abdulkadir,Sadiq,F,FC-005,09/28/2003,Trader,Current,1
FC-006-1007,Adetokunbo,Adeniyi,M,FC-006,08/20/1978,Human Resources Specialist,Current,1
FC-006-1036,Qudus,Ademola,F,FC-006,10/2/1985,Trader,Current,1
FC-006-1037,Folasade,Abimbola,F,FC-006,08/30/1991,Marketing Executive,Savings,1
LA-005-1151,Deborah,Okereke,F,LA-005,11/9/1982,Software Developer,Savings,1
RI-001-1037,Onyinye,Okon,M,RI-001,6/1/1991,Electrician,Savings,1
RI-003-1033,Chukwuemeka,Nnamani,M,RI-003,04/23/1990,Engineer,Savings,1
EN-009-1001,Obinna,Eze,M,EN-009,02/28/1997,Manager,Current,1
EN-007-1053,Chidinma,Nwankwo,M,EN-007,02/20/1997,Construction Worker,Current,1
RI-008-1040,Ijeoma,Brown,F,RI-008,05/17/1982,Health Professional,Savings,1
RI-008-1077,Maxwell,Akobo,M,RI-008,10/6/2002,Student,Savings,1
FC-006-1013,Sadiya,Fadila,F,FC-006,11/10/1987,Health Professional,Savings,1
FC-005-1013,Fati,Zainab,M,FC-005,07/14/1990,Accountant,Current,1
EN-009-1053,Obiageli,Uzoma,F,EN-009,01/27/1984,Manager,Savings,0
KN-010-1045,Sadiya,Musa,F,KN-010,04/23/1986,Human Resources Specialist,Current,1
FC-004-1028,Ruqayya,Rukayat,M,FC-004,3/6/1990,Marketing Executive,Current,0
FC-006-1028,Jideofor,Aikhomu,F,FC-006,07/24/1986,Trader,Current,1
FC-003-1030,Benedict,Agboola,F,FC-003,7/11/1985,Marketing Executive,Savings,0
FC-004-1038,Jideofor,Oni,M,FC-004,03/21/1989,Trader,Savings,0
KN-005-1178,Aliyu,Rukayya,M,KN-005,11/9/1997,Marketing Executive,Current,1
FC-004-1013,Habiba,Danladi,F,FC-004,03/21/1996,Health Professional,Savings,1
FC-006-1008,Usman,Sadiq,M,FC-006,12/22/1993,Human Resources Specialist,Current,1
FC-005-1042,Adesanmi,Adebayo,M,FC-005,08/21/1982,Human Resources Specialist,Savings,1
KN-005-1009,Ibrahim,Ali,M,KN-005,6/9/1992,Factory Worker,Current,1
KN-005-1121,Rabi,Danjuma,M,KN-005,7/8/1993,Marketing Executive,Current,1
RI-007-1041,Olufunke,Ezeani,M,RI-007,11/11/1990,Factory Worker,Current,1
FC-001-1024,Ruqayya,Sadiq,M,FC-001,04/15/2001,Lawyer,Current,0
EN-008-1046,Amarachi,Ojukwu,M,EN-008,11/9/2001,Mechanic,Savings,1
EN-008-1080,Ikenna,Madu,F,EN-008,12/28/1998,Trader,Current,1
KN-005-1172,Aliyu,Fati,F,KN-005,12/18/1989,Engineer,Current,1
FC-006-1035,Chris,Oluwafemi,F,FC-006,8/11/1979,Health Professional,Savings,0
EN-009-1032,Uzoma,Orji,M,EN-009,06/17/1986,Engineer,Savings,1
LA-006-1249,Edith,Akande,M,LA-006,9/11/1990,Factory Worker,Current,0
LA-011-1064,Gbolahan,Ogunnaike,M,LA-011,02/28/1988,Software Developer,Savings,1
EN-006-1021,Chinweuba,Okeke,M,EN-006,03/29/2002,Manager,Current,1
